"unitid","institution name","year","DRVEF2021_RV.Total  enrollment","DRVEF2021_RV.Undergraduate enrollment","DRVEF2021_RV.Graduate enrollment"
"208275","Blue Mountain Community College","2021","1224","1224","0"
"208318","Central Oregon Community College","2021","3735","3735","0"
"208390","Chemeketa Community College","2021","7492","7492","0"
"208406","Clackamas Community College","2021","5217","5217","0"
"208415","Clatsop Community College","2021","741","741","0"
"208646","Eastern Oregon University","2021","2825","2540","285"
"209038","Lane Community College","2021","6807","6807","0"
"209074","Linn-Benton Community College","2021","4190","4190","0"
"209250","Mt Hood Community College","2021","5893","5893","0"
"209490","Oregon Health & Science University","2021","2984","783","2201"
"209506","Oregon Institute of Technology","2021","4910","4776","134"
"209542","Oregon State University","2021","33193","27564","5629"
"209551","University of Oregon","2021","22257","18602","3655"
"209746","Portland Community College","2021","21214","21214","0"
"209807","Portland State University","2021","22858","17753","5105"
"209940","Rogue Community College","2021","3438","3438","0"
"210146","Southern Oregon University","2021","5179","4396","783"
"210155","Southwestern Oregon Community College","2021","1490","1490","0"
"210234","Treasure Valley Community College","2021","1417","1417","0"
"210270","Umpqua Community College","2021","2236","2236","0"
"210429","Western Oregon University","2021","4029","3615","414"
"420556","Columbia Gorge Community College","2021","644","644","0"
"420723","Tillamook Bay Community College","2021","484","484","0"
"423652","Oregon Coast Community College","2021","427","427","0"
"428392","Klamath Community College","2021","1245","1245","0"
"440828","Oregon State University-Cascades Campus","2021","1248","1044","204"
