"unitid","institution name","year","DRVEF2022.Total  enrollment","DRVEF2022.Undergraduate enrollment","DRVEF2022.Graduate enrollment"
"208275","Blue Mountain Community College","2022","1227","1227","0"
"208318","Central Oregon Community College","2022","4155","4155","0"
"208390","Chemeketa Community College","2022","7642","7642","0"
"208406","Clackamas Community College","2022","4638","4638","0"
"208415","Clatsop Community College","2022","714","714","0"
"208646","Eastern Oregon University","2022","2674","2415","259"
"209038","Lane Community College","2022","6745","6745","0"
"209074","Linn-Benton Community College","2022","4242","4242","0"
"209250","Mt Hood Community College","2022","6012","6012","0"
"209490","Oregon Health & Science University","2022","2870","752","2118"
"209506","Oregon Institute of Technology","2022","4911","4802","109"
"209542","Oregon State University","2022","34292","28905","5387"
"209551","University of Oregon","2022","23163","19565","3598"
"209746","Portland Community College","2022","19400","19400","0"
"209807","Portland State University","2022","21609","16862","4747"
"209940","Rogue Community College","2022","3423","3423","0"
"210146","Southern Oregon University","2022","5204","4285","919"
"210155","Southwestern Oregon Community College","2022","1443","1443","0"
"210234","Treasure Valley Community College","2022","1329","1329","0"
"210270","Umpqua Community College","2022","2325","2325","0"
"210429","Western Oregon University","2022","3751","3320","431"
"420556","Columbia Gorge Community College","2022","1039","1039","0"
"420723","Tillamook Bay Community College","2022","538","538","0"
"423652","Oregon Coast Community College","2022","398","398","0"
"428392","Klamath Community College","2022","1580","1580","0"
"440828","Oregon State University-Cascades Campus","2022","1273","1042","231"
