"unitid","institution name","year","EF2021D_RV.Full-time fall 2020 cohort","EF2021D_RV.Students from the full-time adjusted fall 2020 cohort enrolled in fall 2021","EF2021D_RV.Full-time retention rate, 2021","ADM2021_RV.Applicants total","ADM2021_RV.Enrolled total"
"208275","Blue Mountain Community College","2021","158","73","46",,
"208318","Central Oregon Community College","2021","448","265","59",,
"208390","Chemeketa Community College","2021","1167","699","60",,
"208406","Clackamas Community College","2021","618","364","59",,
"208415","Clatsop Community College","2021","58","24","41",,
"208646","Eastern Oregon University","2021","296","191","65","646","267"
"209038","Lane Community College","2021","760","406","53",,
"209074","Linn-Benton Community College","2021","618","300","49",,
"209250","Mt Hood Community College","2021","497","262","53",,
"209490","Oregon Health & Science University","2021",,,,,
"209506","Oregon Institute of Technology","2021","424","288","68","4593","443"
"209542","Oregon State University","2021","3125","2711","87","23188","3965"
"209551","University of Oregon","2021","3840","3347","87","31558","4589"
"209746","Portland Community College","2021","2322","1307","56",,
"209807","Portland State University","2021","1432","1084","76","6859","1741"
"209940","Rogue Community College","2021","322","156","48",,
"210146","Southern Oregon University","2021","529","366","69","1913","519"
"210155","Southwestern Oregon Community College","2021","365","190","52",,
"210234","Treasure Valley Community College","2021","215","106","49",,
"210270","Umpqua Community College","2021","356","190","53",,
"210429","Western Oregon University","2021","669","438","65","2798","544"
"420556","Columbia Gorge Community College","2021","59","31","53",,
"420723","Tillamook Bay Community College","2021","48","25","52",,
"423652","Oregon Coast Community College","2021","43","19","44",,
"428392","Klamath Community College","2021","168","87","52",,
"440828","Oregon State University-Cascades Campus","2021","119","90","76","3439","158"
