"unitid","institution name","year","HD2022.State abbreviation","HD2022.Sector of institution","ADM2022.Applicants total","ADM2022.Enrolled total","EF2022D.Full-time fall 2021 cohort","EF2022D.Students from the full-time adjusted fall 2021 cohort enrolled in fall 2022","EF2022D.Full-time retention rate, 2022"
"208275","Blue Mountain Community College","2022","Oregon","Public, 2-year",,,"238","145","61"
"208318","Central Oregon Community College","2022","Oregon","Public, 2-year",,,"493","281","57"
"208390","Chemeketa Community College","2022","Oregon","Public, 2-year",,,"1161","726","63"
"208406","Clackamas Community College","2022","Oregon","Public, 2-year",,,"509","279","55"
"208415","Clatsop Community College","2022","Oregon","Public, 2-year",,,"89","51","57"
"208646","Eastern Oregon University","2022","Oregon","Public, 4-year or above","1015","252","244","165","68"
"209038","Lane Community College","2022","Oregon","Public, 2-year",,,"840","460","55"
"209074","Linn-Benton Community College","2022","Oregon","Public, 2-year",,,"458","183","40"
"209250","Mt Hood Community College","2022","Oregon","Public, 2-year",,,"399","234","59"
"209490","Oregon Health & Science University","2022","Oregon","Public, 4-year or above",,,,,
"209506","Oregon Institute of Technology","2022","Oregon","Public, 4-year or above","4570","463","403","291","72"
"209542","Oregon State University","2022","Oregon","Public, 4-year or above","25651","4513","3603","3126","87"
"209551","University of Oregon","2022","Oregon","Public, 4-year or above","37154","5313","4525","3873","86"
"209746","Portland Community College","2022","Oregon","Public, 2-year",,,"2190","1236","56"
"209807","Portland State University","2022","Oregon","Public, 4-year or above","7926","1634","1604","1151","72"
"209940","Rogue Community College","2022","Oregon","Public, 2-year",,,"339","162","48"
"210146","Southern Oregon University","2022","Oregon","Public, 4-year or above","2126","567","470","334","71"
"210155","Southwestern Oregon Community College","2022","Oregon","Public, 2-year",,,"367","190","52"
"210234","Treasure Valley Community College","2022","Oregon","Public, 2-year",,,"234","140","60"
"210270","Umpqua Community College","2022","Oregon","Public, 2-year",,,"331","184","56"
"210429","Western Oregon University","2022","Oregon","Public, 4-year or above","3262","563","519","361","70"
"420556","Columbia Gorge Community College","2022","Oregon","Public, 2-year",,,"80","39","49"
"420723","Tillamook Bay Community College","2022","Oregon","Public, 2-year",,,"42","19","45"
"423652","Oregon Coast Community College","2022","Oregon","Public, 2-year",,,"58","28","48"
"428392","Klamath Community College","2022","Oregon","Public, 2-year",,,"138","88","64"
"440828","Oregon State University-Cascades Campus","2022","Oregon","Public, 4-year or above","2097","188","123","97","79"
